Census_Tract,Num_lived,Num_worked,centroid_lat,centroid_lon,key_location,,,,,
5172,953,44344,42.33322413,-83.0403246,Ford Field,,,,,
5173,716,2824,42.3456895,-83.0505419,,,,,,
5324,489,18,42.37845022,-83.08407228,,,,,,
5207,1116,10844,42.33471567,-83.05545143,,,,,,
5170,952,275,42.34085659,-83.03606458,,,,,,
5208,507,15685,42.32535851,-83.05426273,,,,,,
5321,697,103,42.3862563,-83.09157456,Detroit Historical Museum,,,,,
5171,517,267,42.33582859,-83.03304408,,,,,,
5043,520,24,42.40557642,-82.9803157,,,,,,
5203,761,2184,42.34978811,-83.06273343,The Fillmore Detroit,,,,,
5041,357,60,42.41538843,-82.96796976,,,,,,
5169,621,44,42.34468945,-83.03019452,,,,,,
5225,373,566,42.34113523,-83.0606802,,,,,,
5143,546,600,42.38886162,-82.99340536,,,,,,
5202,658,5343,42.35724837,-83.06978268,,,,,,
5204,605,145,42.34815075,-83.06759346,,,,,,
5142,543,74,42.38171401,-83.00842502,,,,,,
5598,700,702,42.40113791,-83.10398081,,,,,,
5390,854,205,42.44234382,-83.15160106,,,,,,
5218,397,118,42.34614425,-83.07125174,,,,,,
5042,477,58,42.40815376,-82.97175956,,,,,,
5214,570,1233,42.33059555,-83.07302769,,,,,,
5538,488,91,42.39654264,-83.09660831,,,,,,
5145,272,2,42.3753161,-82.99990294,,,,,,
5301,694,348,42.40959895,-83.12165209,,,,,,
5327,181,32,42.37524776,-83.09277119,,,,,,
5384,1275,260,42.42444306,-83.13623077,,,,,,
5211,459,673,42.32046844,-83.08123055,,,,,,
5044,360,39,42.40308609,-82.98929048,,,,,,
5215,491,2418,42.33685229,-83.07639918,,,,,,
5326,628,13291,42.36894964,-83.08856062,,,,,,
5165,849,1880,42.33720397,-83.0145446,,,,,,
5112,392,361,42.37627552,-83.0658895,,,,,,
5192,412,740,42.37923293,-83.02155278,,,,,,
5005,440,42,42.42413419,-82.96794336,,,,,,
5007,1139,76,42.42961432,-82.94733552,,,,,,
5040,328,5,42.41697935,-82.97767592,,,,,,
5141,582,10,42.37983037,-82.9893986,,,,,,
5531,537,45,42.41329016,-83.10847796,,,,,,
5114,613,640,42.39007425,-83.07766245,,,,,,
5312,912,59,42.37882964,-83.10200955,,,,,,
5317,437,103,42.39801164,-83.11715259,,,,,,
5383,650,247,42.42420703,-83.12051291,,,,,,
5234,570,266,42.31976412,-83.0911776,,,,,,
5220,527,634,42.3435761,-83.08759292,,,,,,
5011,966,95,42.41283199,-82.9601613,,,,,,
5536,703,52,42.39989469,-83.0876174,,,,,,
5389,1129,341,42.43506062,-83.15134652,,,,,,
5330,425,153,42.36552681,-83.09766211,,,,,,
5331,402,97,42.37189557,-83.10193115,,,,,,
5006,767,53,42.43147896,-82.96531739,,,,,,
5382,793,205,42.43494289,-83.12973055,,,,,,
5318,431,113,42.3903872,-83.11469564,,,,,,
5039,510,90,42.41345368,-82.98734615,,,,,,
5313,310,188,42.38330221,-83.10979207,,,,,,
