,index,Census_Tract,centroid_lat,centroid_lon,key_location,closest,closesteucdist,Num_lived_all,Num_lived_all_new,Num_worked_all,Num_worked_station_1,Num_worked_station_2,Num_worked_station_3,Num_worked_station_4,Num_worked_station_5,Num_worked_station_6,Num_worked_station_7,Num_worked_station_8,Num_worked_station_9,Num_worked_station_10,Num_worked_station_11,Num_worked_station_12,Num_worked_station_13,Num_worked_station_14,Num_worked_station_15,Num_worked_station_16,Num_worked_station_17,Num_worked_station_18,Num_worked_station_19,Num_worked_station_20,Num_worked_station_21,Num_worked_station_22,Num_worked_station_23,Num_worked_station_24,Num_worked_station_25,Num_lived_updated
0,0,5172,42.33322413,-83.0403246,Ford Field,1,0,953,839,44344,0,39,50,27,0,98,49,0,14,40,0,0,85,0,0,44,21,47,10,0,23,59,43,106,39,794
1,1,5207,42.33471567,-83.05545143,,4,0,5029,3837,20332,614,0,70,52,602,285,90,0,157,0,27,80,22,6,34,160,28,64,24,296,246,369,0,111,54,3391
2,2,5208,42.32535851,-83.05426273,,6,0,966,930,16358,47,29,0,8,60,20,39,24,25,133,49,23,6,8,0,41,0,56,61,121,22,78,9,43,9,911
3,3,5171,42.33582859,-83.03304408,,8,0,2939,2706,2466,161,81,202,0,0,42,208,34,27,290,30,0,288,58,0,83,0,458,157,51,104,126,34,228,44,2706
4,4,5326,42.36894964,-83.08856062,,31,0,9228,7866,22121,575,1202,157,0,0,0,281,571,0,56,788,1197,324,177,57,749,0,197,51,255,502,174,58,214,47,7632
5,5,5026,42.39702238,-82.97076818,,56,0,15960,13559,12821,3753,1265,883,114,268,0,99,225,0,256,911,222,681,196,128,1370,0,393,105,202,0,925,0,376,399,12771
6,6,5302,42.41106108,-83.13419228,The University of Detroit Mercy,60,0,21564,19181,7746,4016,484,214,164,4182,1463,0,939,197,685,0,83,0,0,0,149,166,1337,34,314,1102,1488,89,1702,226,19034
7,7,5520,42.40438241,-83.05848769,,88,0,19786,16016,11249,1029,2554,1635,0,1926,1414,299,0,774,448,0,368,166,0,72,0,322,707,617,483,1130,421,303,325,141,15134
8,8,5257,42.32717122,-83.12642725,,115,0,12168,10271,9777,1016,1367,714,48,1183,54,572,1107,0,0,140,0,130,552,0,128,416,433,435,736,0,195,0,1045,0,10271
9,9,5016,42.41294379,-82.92071298,,153,0,11887,10119,7664,1194,236,172,283,135,1828,69,1466,41,0,0,0,67,47,186,62,65,119,457,0,1870,265,0,1228,0,9790
10,10,5395,42.41981956,-83.18743109,,167,0,22179,19864,6505,7891,104,2072,0,226,87,786,0,1709,342,0,722,76,202,326,409,0,943,0,300,403,601,83,1124,0,18406
11,11,5739,42.33860963,-83.18912415,,188,0,17147,16484,6549,1585,1898,3199,0,321,1313,28,523,169,1259,41,0,370,354,0,531,398,27,332,1073,152,1108,218,1517,0,16416
12,12,5471,42.371725,-83.22657754,,212,0,16710,13826,6443,1185,3791,76,61,171,477,0,489,50,0,47,98,0,303,0,695,0,823,240,0,1501,1872,561,646,95,13181
13,13,5412,42.42201228,-83.25370315,,224,0,19069,16213,3805,2496,0,3702,0,586,486,0,699,695,0,631,808,280,0,0,0,79,614,516,894,1480,1236,235,239,537,16213
14,14,5753,42.28646558,-83.26108232,,235,0,7632,6565,2921,275,860,189,94,1056,0,0,0,0,99,0,147,68,0,0,87,87,0,271,660,156,1209,399,730,90,6477
15,15,5549,42.38148516,-83.29477914,,250,0,21581,18667,6792,5438,1015,139,138,1923,286,291,280,154,0,802,149,0,34,335,0,120,932,28,0,591,4660,286,688,352,18641
16,16,5704,42.30038382,-83.32033803,,263,0,15766,12505,3503,711,0,113,318,3824,0,126,219,487,93,311,28,114,0,321,314,0,591,377,358,1030,2195,391,358,110,12389
17,17,5581,42.3905913,-83.34390593,,272,0,18823,17986,8867,3420,619,283,105,84,322,1419,305,784,605,0,680,932,315,98,169,787,0,3035,521,373,92,288,2126,624,17986
18,18,5682,42.30251575,-83.39811723,,295,0,16805,15627,8795,4503,1378,829,119,0,414,2164,232,315,1518,114,117,408,0,450,193,535,119,0,199,101,116,473,577,112,14986
19,19,5575,42.40370336,-83.40286262,,296,0,13575,10413,7118,2315,27,236,26,802,58,325,1061,2590,35,293,54,236,120,140,0,0,0,212,0,1555,138,51,139,0,10413
20,20,5565,42.42495351,-83.42352226,,300,0,2441,1182,18034,41,88,153,143,64,32,0,22,0,88,0,52,0,15,0,49,0,178,172,21,0,21,0,43,0,1182
21,21,5625,42.37566247,-83.45799989,,312,0,12755,12312,19347,1037,1638,129,0,1462,568,125,1110,0,477,263,71,798,580,0,303,0,154,582,0,518,0,298,1230,0,11343
22,22,5646,42.30046304,-83.47218009,,315,0,13080,12517,4617,36,203,84,406,1964,1196,629,265,762,279,0,412,399,508,0,262,0,574,222,461,2487,235,0,435,248,12067
23,23,5617,42.38627597,-83.51265031,,321,0,12015,10359,16527,725,743,708,196,429,1301,0,205,253,191,343,0,348,330,686,876,273,0,216,0,1576,564,199,0,0,10162
24,24,5645,42.30098518,-83.52568294,,322,0,9905,8262,3405,236,265,330,164,619,289,0,591,574,441,257,1170,0,0,0,92,90,101,0,173,1112,231,149,1100,0,7984
