centroid_lat,centroid_lon,Num_lived_all_new,Num_worked_station_1,Num_worked_station_2,Num_worked_station_3,Num_worked_station_4,Num_worked_station_5,Num_worked_station_6,Num_worked_station_7,Num_worked_station_8,Num_worked_station_9,Num_worked_station_10,Num_worked_station_11,Num_worked_station_12,Num_worked_station_13,Num_worked_station_14,Num_worked_station_15,Num_worked_station_16,Num_worked_station_17,Num_worked_station_18,Num_worked_station_19,Num_worked_station_20,Num_worked_station_21,Num_worked_station_22,Num_worked_station_23,Num_worked_station_24,Num_worked_station_25
42.33322413,-83.0403246,839,45,39,50,27,0,98,49,0,14,40,0,0,85,0,0,44,21,47,10,0,23,59,43,106,39
42.33471567,-83.05545143,3837,614,446,70,52,602,285,90,0,157,0,27,80,22,6,34,160,28,64,24,296,246,369,0,111,54
42.32535851,-83.05426273,930,47,29,19,8,60,20,39,24,25,133,49,23,6,8,0,41,0,56,61,121,22,78,9,43,9
42.33582859,-83.03304408,2706,161,81,202,0,0,42,208,34,27,290,30,0,288,58,0,83,0,458,157,51,104,126,34,228,44
42.36894964,-83.08856062,7866,575,1202,157,0,234,0,281,571,0,56,788,1197,324,177,57,749,0,197,51,255,502,174,58,214,47
42.39702238,-82.97076818,13559,3753,1265,883,114,268,788,99,225,0,256,911,222,681,196,128,1370,0,393,105,202,0,925,0,376,399
42.41106108,-83.13419228,19181,4016,484,214,164,4182,1463,147,939,197,685,0,83,0,0,0,149,166,1337,34,314,1102,1488,89,1702,226
42.40438241,-83.05848769,16016,1029,2554,1635,0,1926,1414,299,882,774,448,0,368,166,0,72,0,322,707,617,483,1130,421,303,325,141
42.32717122,-83.12642725,10271,1016,1367,714,48,1183,54,572,1107,0,0,140,0,130,552,0,128,416,433,435,736,0,195,0,1045,0
42.41294379,-82.92071298,10119,1194,236,172,283,135,1828,69,1466,41,329,0,0,67,47,186,62,65,119,457,0,1870,265,0,1228,0
42.41981956,-83.18743109,19864,7891,104,2072,0,226,87,786,0,1709,342,1458,722,76,202,326,409,0,943,0,300,403,601,83,1124,0
42.33860963,-83.18912415,16484,1585,1898,3199,0,321,1313,28,523,169,1259,41,68,370,354,0,531,398,27,332,1073,152,1108,218,1517,0
42.371725,-83.22657754,13826,1185,3791,76,61,171,477,0,489,50,0,47,98,645,303,0,695,0,823,240,0,1501,1872,561,646,95
42.42201228,-83.25370315,16213,2496,0,3702,0,586,486,0,699,695,0,631,808,280,0,0,0,79,614,516,894,1480,1236,235,239,537
42.28646558,-83.26108232,6565,275,860,189,94,1056,0,0,0,0,99,0,147,68,0,88,87,87,0,271,660,156,1209,399,730,90
42.38148516,-83.29477914,18667,5438,1015,139,138,1923,286,291,280,154,0,802,149,0,34,335,26,120,932,28,0,591,4660,286,688,352
42.30038382,-83.32033803,12505,711,0,113,318,3824,0,126,219,487,93,311,28,114,0,321,314,116,591,377,358,1030,2195,391,358,110
42.3905913,-83.34390593,17986,3420,619,283,105,84,322,1419,305,784,605,0,680,932,315,98,169,787,0,3035,521,373,92,288,2126,624
42.30251575,-83.39811723,15627,4503,1378,829,119,0,414,2164,232,315,1518,114,117,408,0,450,193,535,119,641,199,101,116,473,577,112
42.40370336,-83.40286262,10413,2315,27,236,26,802,58,325,1061,2590,35,293,54,236,120,140,0,0,0,212,0,1555,138,51,139,0
42.42495351,-83.42352226,1182,41,88,153,143,64,32,0,22,0,88,0,52,0,15,0,49,0,178,172,21,0,21,0,43,0
42.37566247,-83.45799989,12312,1037,1638,129,0,1462,568,125,1110,0,477,263,71,798,580,0,303,0,154,582,0,518,969,298,1230,0
42.30046304,-83.47218009,12517,36,203,84,406,1964,1196,629,265,762,279,0,412,399,508,0,262,0,574,222,461,2487,235,450,435,248
42.38627597,-83.51265031,10359,725,743,708,196,429,1301,0,205,253,191,343,0,348,330,686,876,273,0,216,0,1576,564,199,197,0
42.30098518,-83.52568294,8262,236,265,330,164,619,289,0,591,574,441,257,1170,0,0,0,92,90,101,0,173,1112,231,149,1100,278
